
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2

0	79	135
1	79	135
2	79	135
3	79	135
4	79	135
5	79	135
6	79	135
7	80	135
8	79	135
9	79	135
10	79	135
11	79	135
12	80	135
13	80	135
14	80	135
15	79	135
16	79	135
17	79	135
18	79	135
19	80	135
20	79	135
21	79	135
22	79	135
23	79	135
24	79	135
25	79	135
26	79	135
27	79	135
28	80	135
29	80	135
30	80	135
31	79	135
32	79	135
33	79	135
34	80	135
35	79	135
36	79	135
37	79	135
38	80	135
39	79	135
40	80	135
41	79	135
42	79	135
43	78	135
44	80	135
45	80	135
46	80	135
47	80	135
48	80	135
49	80	135
50	80	135
51	80	135
52	79	135
53	80	135
54	80	135
55	80	135
56	79	135
57	80	135
58	79	135
59	80	135
60	79	135
61	79	135
62	80	135
63	79	135
64	79	135
65	79	135
66	80	135
67	79	135
68	79	135
69	79	135
70	80	135
71	79	135
72	79	135
73	80	135
74	79	135
75	80	135
76	79	135
77	79	135
78	79	135
79	79	135
80	79	135
81	79	135
82	79	135
83	79	135
84	79	135
85	79	135
86	79	135
87	79	135
88	79	135
89	79	135
90	79	135
91	80	135
92	79	135
93	79	135
94	80	135
95	80	135
96	79	135
97	79	135
98	79	135
99	80	136
100	79	135
101	79	135
102	80	135
103	80	135
104	79	135
105	80	135
106	79	135
107	79	135
108	79	135
109	79	135
110	79	135
111	80	135
112	79	135
113	79	135
114	79	135
115	79	135
116	79	135
117	78	135
118	79	135
119	79	135
120	79	135
121	80	135
122	79	135
123	79	135
124	79	135
125	79	135
126	79	135
127	80	135
128	79	135
129	79	135
130	80	135
131	79	135
132	79	135
133	79	135
134	79	135
135	79	135
136	79	135
137	79	135
138	80	135
139	79	135
140	80	136
141	79	135
142	79	135
143	79	135
144	79	135
145	79	135
146	79	135
147	79	135
148	79	135
149	80	135
150	79	135
151	79	135
152	79	135
153	79	135
154	79	135
155	79	135
156	79	135
157	79	135
158	79	135
159	79	135
160	79	135
161	79	135
162	79	135
163	79	135
164	79	135
165	79	135
166	79	135
167	79	135
168	79	135
169	79	135
170	79	135
171	79	135
172	79	135
173	79	135
174	79	135
175	79	135
176	79	135
177	79	135
178	79	135
179	79	135
180	79	135
181	79	135
182	79	135
183	79	135
184	79	135
185	79	135
186	79	135
187	79	135
188	79	135
189	79	135
190	79	135
191	78	135
192	79	135
193	79	135
194	79	135
195	79	135
196	79	135
197	79	135
198	79	135
199	79	135
200	79	135
201	79	135
202	79	135
203	79	135
