
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2

0	79	137
1	79	137
2	79	137
3	79	137
4	79	137
5	79	137
6	77	137
7	79	137
8	79	137
9	79	137
10	79	137
11	79	137
12	79	137
13	79	137
14	79	137
15	79	137
16	79	137
17	79	137
18	79	137
19	79	137
20	79	137
21	79	137
22	79	137
23	79	137
24	79	137
25	79	137
26	79	137
27	79	137
28	79	137
29	79	137
30	79	137
31	79	137
32	79	137
33	79	137
34	79	137
35	79	137
36	79	137
37	79	137
38	79	137
39	79	137
40	79	137
41	79	137
42	79	137
43	79	137
44	79	137
45	79	137
46	79	137
47	79	137
48	79	137
49	79	137
50	79	137
51	79	137
52	79	137
53	79	137
54	79	137
55	79	137
56	79	137
57	79	137
58	79	137
59	79	137
60	79	137
61	79	137
62	79	137
63	79	137
64	79	137
65	79	137
66	79	137
67	79	137
68	79	137
69	79	137
70	79	137
71	79	137
72	79	137
73	79	137
74	79	137
75	79	137
76	79	137
77	79	137
78	79	136
79	79	137
80	78	136
81	80	137
82	79	137
83	79	137
84	79	137
85	79	137
86	79	137
87	79	137
88	79	137
89	79	137
90	79	137
91	79	137
92	79	137
93	79	137
94	79	136
95	79	137
96	80	137
97	80	137
98	79	137
99	79	137
100	79	137
101	80	137
102	80	137
103	79	137
104	80	137
105	79	136
106	80	137
107	79	137
108	79	137
109	79	136
110	79	137
111	80	137
112	79	137
113	79	137
114	80	137
115	80	137
116	80	137
117	80	137
118	80	137
119	80	137
120	80	137
121	79	136
122	80	137
123	79	136
124	80	137
125	79	136
126	79	137
127	80	137
128	80	137
129	80	136
130	80	137
131	80	137
132	80	136
133	80	137
134	80	137
135	80	137
136	80	136
137	80	137
138	80	137
139	80	137
140	80	137
141	80	137
142	80	136
143	80	137
144	80	136
145	80	136
146	80	137
147	80	137
148	80	137
149	80	137
150	80	137
151	80	137
152	80	137
153	80	137
154	78	136
155	80	137
156	80	137
157	80	137
158	80	137
159	80	137
160	80	137
161	80	137
162	80	137
163	80	137
164	80	137
165	80	136
166	80	137
167	80	137
168	80	137
169	80	137
170	80	137
171	80	137
172	80	137
173	80	137
174	80	137
175	80	137
176	80	136
177	80	137
178	80	137
179	80	136
180	80	137
181	80	137
182	80	137
183	80	137
184	80	137
185	80	137
186	80	137
187	80	137
188	80	136
189	80	137
190	80	137
191	80	137
192	80	137
193	80	137
194	80	137
195	80	137
196	80	137
197	80	137
198	80	137
199	80	137
200	80	137
201	80	137
202	80	137
203	80	136
204	80	137
205	80	137
206	80	137
207	80	137
208	80	137
209	80	137
210	80	137
211	80	137
212	80	136
213	80	137
214	80	137
215	80	137
216	80	137
217	80	136
218	80	137
219	80	136
220	80	137
221	80	137
222	80	137
223	80	137
224	81	137
225	80	137
226	80	137
227	80	137
228	79	136
229	80	137
230	80	137
231	80	137
232	80	137
233	81	137
234	80	137
235	80	137
236	80	136
237	80	136
238	80	137
239	81	137
240	80	137
241	81	137
242	80	137
243	80	137
244	81	137
245	80	137
246	80	137
247	80	137
248	80	137
249	80	137
250	81	137
251	81	137
252	81	137
253	80	137
254	81	137
255	81	137
256	80	137
257	80	137
258	80	137
259	81	137
260	80	137
261	81	137
262	81	137
263	81	137
264	80	137
265	80	137
266	80	137
267	80	137
268	81	137
269	80	137
270	80	137
271	80	137
272	80	137
273	81	137
274	81	137
275	80	137
276	80	137
277	80	137
278	81	137
279	81	137
280	80	137
281	81	137
282	81	137
283	80	137
284	81	137
285	81	137
286	80	137
287	80	137
288	80	137
289	80	137
290	80	137
291	80	137
292	80	137
293	80	137
294	80	137
295	80	137
296	80	137
297	80	137
298	81	137
299	80	137
300	81	137
301	81	137
302	79	137
303	81	137
304	81	137
305	80	137
306	80	137
307	80	137
308	80	137
309	80	137
310	81	137
311	80	137
312	81	137
313	80	137
314	81	137
315	81	137
316	80	136
317	80	137
318	81	137
319	81	137
320	81	137
321	80	137
322	81	137
323	81	137
324	81	137
325	80	137
326	81	137
327	80	137
328	80	137
329	80	137
330	80	136
331	80	137
332	80	137
333	80	137
334	81	137
335	80	137
336	81	137
337	80	137
338	80	137
339	80	137
340	80	137
341	81	137
342	80	137
343	80	137
344	80	137
345	80	137
346	81	137
347	80	137
348	80	137
349	80	137
350	80	137
351	80	137
352	80	137
353	80	137
354	80	137
355	80	137
356	80	137
357	80	137
358	80	137
359	80	137
360	80	137
361	80	137
362	80	137
363	80	137
364	80	137
365	80	137
366	80	137
367	80	137
368	80	137
369	80	137
370	80	137
371	80	137
372	80	137
373	80	137
374	80	137
375	80	137
376	79	136
377	80	136
378	80	137
379	80	137
380	80	137
381	80	137
382	80	137
383	80	137
384	81	137
385	80	137
386	80	137
387	80	137
388	80	137
389	80	137
390	80	137
391	80	137
392	80	136
393	80	136
394	80	137
395	80	137
396	81	137
397	81	137
398	80	137
399	80	137
400	80	137
401	80	137
402	80	137
403	81	137
404	80	136
405	80	137
406	80	137
407	80	137
408	80	137
409	80	136
410	81	137
411	80	137
412	81	137
413	80	137
414	80	136
415	80	137
416	80	137
417	81	136
418	81	137
419	80	136
420	80	137
421	81	137
422	81	137
423	80	136
424	80	136
425	80	136
426	80	136
427	80	136
428	80	136
429	80	137
430	80	136
431	81	137
432	80	137
433	80	137
434	80	137
435	80	137
436	80	137
437	80	136
438	80	136
439	80	136
440	80	136
441	80	137
442	81	136
443	80	136
444	81	137
445	80	136
446	80	136
447	80	137
448	80	137
449	80	136
450	79	136
451	80	136
452	80	136
453	80	136
454	80	136
455	80	136
456	80	136
457	80	137
458	81	136
459	81	136
460	80	136
461	80	136
462	80	136
463	80	137
464	80	136
465	80	136
466	80	136
467	80	136
468	80	136
469	81	136
470	80	136
471	80	136
472	80	136
473	80	136
474	80	136
475	81	136
476	81	136
477	80	136
478	80	136
479	80	136
480	81	136
481	81	136
482	80	136
483	80	136
484	80	136
485	81	136
486	81	136
487	80	136
488	81	136
489	80	136
490	81	136
491	80	136
492	81	136
493	80	136
494	81	136
495	81	136
496	81	136
497	81	136
498	81	136
499	81	136
500	81	136
501	81	136
502	81	136
503	81	136
504	81	136
505	81	136
506	81	136
507	81	136
508	81	136
509	81	136
510	80	136
511	81	136
512	81	136
513	81	136
514	80	136
515	81	136
516	81	136
517	81	136
518	81	136
519	81	136
520	81	136
521	81	136
522	81	136
523	81	136
524	79	135
525	81	135
526	81	136
527	81	136
528	81	136
529	81	136
530	81	136
531	81	136
532	81	136
533	81	136
534	81	136
535	81	136
536	81	136
537	81	136
538	81	136
539	81	136
540	81	136
541	81	136
542	81	136
543	81	136
544	81	136
545	81	136
546	81	136
547	81	136
548	81	136
549	81	136
550	81	136
551	81	136
552	81	136
553	81	136
554	81	136
555	81	136
556	81	136
557	81	136
558	81	136
559	81	136
560	81	136
561	81	136
562	81	136
563	81	136
564	81	135
565	81	136
566	81	136
567	81	136
568	81	136
569	81	136
570	81	136
571	81	136
572	81	136
573	81	136
574	81	136
575	81	136
576	81	136
577	81	135
578	81	136
579	81	136
580	81	136
581	81	136
582	81	136
583	81	136
584	81	136
585	81	136
586	81	136
587	81	136
588	81	136
589	81	136
590	81	136
591	81	136
592	81	135
593	81	135
594	81	136
595	81	135
596	80	135
597	81	136
598	79	135
599	81	136
600	81	136
601	81	136
602	81	136
603	81	136
604	81	135
605	81	136
606	81	136
607	81	135
608	81	136
609	81	136
610	81	136
611	81	136
612	81	136
613	81	136
614	81	136
615	81	135
616	81	136
617	81	136
618	81	136
619	81	135
620	81	136
621	81	135
622	81	136
623	81	136
624	81	136
625	80	136
626	80	135
627	81	135
628	81	136
629	81	136
630	81	136
631	80	135
632	81	136
633	80	136
634	81	136
635	81	136
636	81	136
637	80	136
638	81	136
639	81	136
640	81	136
641	81	136
642	81	136
643	80	136
644	81	136
645	81	136
646	81	136
647	80	135
648	81	136
649	80	135
650	81	136
651	81	136
652	81	136
653	81	136
654	81	136
655	81	136
656	80	135
657	81	136
658	81	136
659	81	136
660	81	136
661	81	136
662	81	136
663	81	136
664	80	136
665	80	136
666	80	136
667	80	136
668	80	135
669	80	136
670	80	136
671	80	136
672	79	135
673	80	136
674	80	135
675	80	136
676	80	136
677	80	136
678	80	136
679	80	136
680	80	136
681	80	136
682	80	136
683	80	136
684	81	136
685	80	136
686	80	135
687	80	136
688	80	136
689	80	136
690	80	135
691	80	136
692	80	136
693	80	135
694	80	136
695	80	136
696	81	136
697	80	136
698	80	136
699	80	136
700	80	136
701	80	136
702	80	136
703	80	136
704	80	136
705	80	136
706	80	136
707	80	136
708	80	135
709	80	136
710	80	136
711	80	135
712	80	136
713	80	136
714	80	136
715	80	136
716	80	136
717	80	136
718	80	136
719	80	136
720	80	136
721	80	136
722	80	136
723	80	136
724	80	136
725	80	136
726	80	136
727	80	136
728	80	136
729	80	136
730	80	136
731	80	136
732	80	136
733	80	136
734	80	136
735	80	136
736	80	135
737	80	136
738	80	136
739	80	136
740	80	135
741	80	136
742	80	136
743	80	136
744	80	136
745	80	135
746	79	135
747	80	136
748	80	136
749	80	136
750	80	136
751	80	136
752	80	136
753	80	136
754	80	136
755	80	135
756	80	136
757	80	136
758	80	135
759	80	136
760	80	135
761	80	135
762	80	135
763	80	135
764	80	136
765	80	136
766	80	136
767	80	136
768	80	135
769	80	136
770	80	136
771	80	136
772	80	135
773	80	136
774	80	135
775	80	136
776	80	135
777	80	135
778	80	136
779	80	135
780	80	135
781	80	135
782	80	136
783	80	135
784	80	136
785	80	135
786	80	135
787	80	135
788	80	135
789	80	135
790	80	135
791	80	135
792	80	135
793	80	135
794	80	135
795	80	135
796	80	135
797	80	135
798	80	136
799	80	135
800	80	135
801	80	135
802	80	135
803	80	135
804	80	135
805	80	135
806	80	135
807	80	135
808	80	135
809	80	135
810	80	135
811	80	136
812	80	135
813	80	135
814	80	135
815	80	135
816	80	135
817	80	135
818	80	135
819	80	135
820	78	135
821	80	135
822	80	135
823	80	135
824	80	135
825	80	135
826	80	135
827	80	135
828	80	135
829	80	135
830	80	135
831	80	135
832	80	135
833	80	135
834	80	135
835	80	135
836	80	135
837	80	135
838	80	135
839	80	135
840	80	135
841	80	135
842	80	135
843	80	135
844	80	135
845	80	135
846	80	135
847	80	135
848	80	135
849	80	135
850	80	135
851	80	135
852	80	135
853	80	135
854	80	135
855	80	135
856	80	135
857	80	135
858	80	135
859	80	135
860	80	135
861	80	135
862	80	135
863	80	135
864	80	135
865	80	135
866	80	135
867	80	135
868	80	135
869	80	135
870	80	135
871	80	135
872	80	135
873	80	135
874	80	135
875	80	135
876	80	135
877	80	135
878	80	135
879	80	135
880	80	135
881	80	135
882	80	135
883	80	135
884	80	135
885	80	135
886	80	135
887	80	135
888	80	135
889	80	135
890	80	135
891	80	135
892	80	135
893	80	135
894	78	135
895	80	135
896	80	135
897	80	135
898	80	135
899	80	135
900	80	135
901	80	135
902	80	135
903	80	135
904	80	135
905	80	135
906	80	135
907	80	135
908	80	135
909	80	135
910	80	135
911	80	135
912	80	135
913	80	135
914	80	135
915	80	135
916	80	135
917	80	135
918	80	135
919	80	135
920	80	135
921	80	135
922	80	135
923	80	135
924	80	135
925	80	135
926	80	135
927	80	135
928	80	135
929	80	135
930	80	135
931	80	135
932	80	135
933	80	135
934	80	135
935	80	135
936	80	135
937	80	135
938	80	135
939	80	135
940	80	135
941	80	135
942	80	135
943	80	135
944	80	135
945	80	135
946	80	135
947	80	135
948	79	135
949	80	135
950	80	135
951	80	135
952	80	135
953	80	135
954	80	135
955	80	135
956	80	135
957	80	135
958	80	135
959	80	135
960	80	135
961	80	135
962	80	135
963	80	135
964	80	135
965	80	135
966	80	135
967	80	135
968	78	135
969	80	135
970	80	135
971	80	135
972	80	135
973	80	135
974	80	135
975	80	135
976	80	135
977	80	135
978	80	135
979	80	135
980	80	135
981	80	135
982	80	135
983	80	135
984	80	135
985	80	135
986	80	135
987	81	135
988	81	135
989	81	135
990	81	135
991	81	135
992	81	135
993	81	135
994	81	135
995	81	135
996	82	135
997	82	135
998	82	135
999	82	135
1000	82	135
1001	83	135
1002	84	135
1003	84	135
1004	84	135
1005	85	135
1006	85	135
1007	86	135
1008	86	135
1009	87	135
1010	88	135
1011	89	135
1012	89	135
1013	90	135
1014	91	135
1015	92	135
1016	93	135
1017	94	135
1018	95	135
1019	96	135
1020	97	135
1021	99	135
1022	100	135
1023	102	135
1024	103	135
1025	104	135
1026	105	135
1027	107	135
1028	109	135
1029	110	135
1030	111	135
1031	113	135
1032	114	135
1033	116	135
1034	118	135
1035	120	135
1036	122	135
1037	124	135
1038	125	135
1039	127	135
1040	129	135
1041	131	135
1042	131	135
1043	134	135
1044	135	135
1045	137	135
1046	139	135
1047	141	135
1048	143	135
1049	144	135
1050	146	135
1051	148	135
1052	149	135
1053	151	135
1054	153	135
1055	154	135
1056	156	135
1057	157	135
1058	158	135
1059	160	135
1060	161	135
1061	162	135
1062	163	135
1063	164	135
1064	165	135
1065	166	135
1066	167	135
1067	167	135
1068	168	135
1069	169	135
1070	170	135
1071	170	135
1072	170	135
1073	170	135
1074	170	135
1075	170	135
1076	170	135
1077	170	135
1078	170	135
1079	169	135
1080	168	135
1081	168	135
1082	167	135
1083	166	135
1084	165	135
1085	164	135
1086	163	135
1087	162	135
1088	160	135
1089	158	135
1090	157	135
1091	156	135
1092	154	135
1093	152	135
1094	150	135
1095	148	135
1096	146	135
1097	145	135
1098	143	135
1099	141	135
1100	138	135
1101	136	135
1102	134	135
1103	133	135
1104	130	135
1105	128	135
1106	126	135
1107	124	135
1108	121	135
1109	119	135
1110	117	135
1111	114	135
1112	112	135
1113	110	135
1114	108	135
1115	105	135
1116	102	134
1117	101	135
1118	99	135
1119	96	135
1120	94	135
1121	92	135
1122	90	135
1123	88	135
1124	86	135
1125	83	135
1126	82	135
1127	80	135
1128	78	135
1129	77	135
1130	75	135
1131	73	135
1132	72	134
1133	71	135
1134	70	134
1135	69	135
1136	67	134
1137	67	134
1138	66	134
1139	65	134
1140	65	134
1141	64	134
1142	64	134
1143	64	134
1144	64	134
1145	63	134
1146	64	134
1147	64	134
1148	64	134
1149	65	134
1150	65	134
1151	65	134
1152	66	134
1153	66	134
1154	67	134
1155	68	134
1156	69	134
1157	70	134
1158	71	134
1159	72	134
1160	73	134
1161	74	134
1162	75	134
1163	77	134
1164	78	134
1165	79	135
1166	81	135
1167	82	134
1168	83	134
1169	85	135
1170	87	134
1171	88	134
1172	90	134
1173	91	134
1174	93	134
1175	94	134
1176	95	135
1177	97	134
1178	98	134
1179	99	134
1180	101	134
1181	102	134
1182	104	135
1183	105	134
1184	106	134
1185	107	135
1186	109	135
1187	109	134
1188	111	134
1189	111	134
1190	111	134
1191	114	134
1192	115	134
1193	116	134
1194	117	135
1195	118	134
1196	119	134
1197	120	134
1198	121	135
1199	122	134
1200	122	134
1201	123	134
1202	124	135
1203	125	134
1204	126	134
1205	126	134
1206	127	134
1207	127	135
1208	127	134
1209	127	134
1210	128	134
1211	128	134
1212	128	134
1213	128	134
1214	127	135
1215	127	134
1216	126	134
1217	126	134
1218	126	134
1219	125	134
1220	124	134
1221	123	134
1222	122	134
1223	121	134
1224	119	134
1225	118	134
1226	117	134
1227	116	134
1228	114	134
1229	113	135
1230	112	135
1231	111	134
1232	110	134
1233	109	134
1234	108	134
1235	106	134
1236	106	134
1237	105	135
1238	104	135
1239	103	134
1240	102	134
1241	102	134
1242	101	134
1243	100	134
1244	100	134
1245	99	134
1246	99	134
1247	98	134
1248	97	134
1249	97	134
1250	97	135
1251	96	134
1252	96	135
1253	95	134
1254	94	134
1255	94	134
1256	93	134
1257	92	134
1258	92	134
1259	91	134
1260	90	134
1261	89	134
1262	88	134
1263	87	134
1264	85	134
1265	85	134
1266	85	134
1267	84	134
1268	83	134
1269	82	134
1270	81	134
1271	81	134
1272	80	134
1273	79	134
1274	79	134
1275	78	134
1276	78	134
1277	77	134
1278	77	134
1279	77	135
1280	77	134
1281	76	134
1282	76	134
1283	76	134
1284	75	134
1285	75	134
1286	75	134
1287	75	134
1288	75	134
1289	75	134
1290	75	134
1291	75	134
1292	75	134
1293	75	134
1294	75	134
1295	75	134
1296	75	135
1297	75	134
1298	75	134
1299	75	134
1300	75	134
1301	75	134
1302	75	134
1303	74	134
1304	74	135
1305	74	134
1306	74	134
1307	74	134
1308	73	134
1309	73	134
1310	72	134
1311	72	134
1312	72	134
1313	71	134
1314	71	134
1315	71	134
1316	70	135
1317	70	134
1318	69	134
1319	68	134
1320	68	135
1321	67	134
1322	67	134
1323	66	134
1324	65	134
1325	65	135
1326	64	134
1327	64	135
1328	63	134
1329	63	134
1330	62	134
1331	62	134
1332	62	134
1333	62	134
1334	61	134
1335	61	134
1336	61	134
1337	60	134
1338	58	134
1339	60	134
1340	60	134
1341	59	134
1342	59	134
1343	59	134
1344	59	134
1345	59	134
1346	59	135
1347	58	134
1348	58	134
1349	58	134
1350	58	134
1351	57	134
1352	57	134
1353	57	134
1354	57	134
1355	56	134
1356	56	135
1357	56	134
1358	56	134
1359	56	134
1360	55	134
1361	55	134
1362	55	134
1363	55	134
1364	55	135
1365	55	134
1366	55	135
1367	55	134
1368	56	134
1369	56	134
1370	57	135
1371	57	135
1372	58	134
1373	58	134
1374	59	134
1375	60	134
1376	61	135
